ID_Organisation,Type,Country,Budget,Organisation
1,University,Japan,47625120296.0,Polytechnic of Finland 33
2,School,China,45201089985.0,College of France 47
3,Polytechnic,Argentina,30163731272.0,Research Center of UK 4
4,Academy,Austria,42627935654.0,University of India 46
5,Academy,Japan,89926777246.0,Institute of Australia 5
6,College,South Africa,62432125111.0,School of Poland 25
7,School,Argentina,29490479697.0,School of South Africa 7
8,Polytechnic,Italy,85279420937.0,Research Center of Sweden 28
9,Academy,India,41381943304.0,Polytechnic of Puerto Rico 26
10,Academy,China,31255522451.0,Institute of Mexico 24
11,College,China,6714263680.0,Polytechnic of Russia 6
12,Academy,China,74459152330.0,Institute of Canada 36
13,University,Ukraine,67001656460.0,Academy of Norway 43
14,Polytechnic,South Africa,86809346795.0,Research Center of Germany 19
15,School,Israel,35165266923.0,School of Namibia 14
16,College,China,22425262666.0,University of Norway 36
17,Institute,Italy,76260800588.0,School of India 28
18,Polytechnic,UK,60899882560.0,Research Center of South Africa 2
19,College,South Africa,70270174588.0,Institute of Ukraine 23
20,University,Netherlands,86986400791.0,School of Austria 5
21,College,UK,9176676548.0,School of Sweden 25
22,Academy,Puerto Rico,34090257281.0,Institute of Israel 47
23,Institute,Russia,88334335110.0,College of Spain 49
24,School,Germany,67397197093.0,Institute of Arizona 43
25,Academy,India,60707993668.0,Academy of South Africa 14
26,Polytechnic,Namibia,11382636994.0,Academy of Italy 19
27,Research Center,India,52693883781.0,Institute of France 15
28,Academy,Germany,769700903.0,Institute of Sweden 50
29,College,Mexico,28945423675.0,University of USA 32
30,Research Center,South Africa,17570304493.0,Academy of India 33
31,School,Norway,7208477584.0,Polytechnic of France 28
32,University,Puerto Rico,92116322288.0,Polytechnic of Poland 37
33,Academy,Austria,70950186658.0,Academy of South Korea 8
34,Academy,UK,96620002904.0,College of Puerto Rico 45
35,Institute,Russia,43671741245.0,University of Brazil 28
36,School,Austria,52396730338.0,Academy of Israel 48
37,Institute,India,33307529181.0,College of Japan 33
38,Research Center,Italy,53060951472.0,College of Norway 23
39,Research Center,Australia,23627648626.0,College of Mexico 13
40,College,Australia,76021769339.0,Research Center of Japan 12
41,Polytechnic,India,46395842898.0,School of Arizona 44
42,School,Poland,86424823236.0,Research Center of Poland 10
43,Academy,Japan,46892639432.0,Research Center of Israel 18
44,School,Germany,35194870320.0,University of Israel 30
45,Academy,France,5689948193.0,Polytechnic of South Korea 5
46,Research Center,Russia,61501223833.0,School of Denmark 30
47,School,France,44973920631.0,Polytechnic of Switzerland 21
48,School,China,50137228820.0,University of Arizona 7
49,Polytechnic,Ukraine,98238575724.0,University of Namibia 42
50,College,France,24775124616.0,Academy of Arizona 34
51,School,Spain,36390432071.0,Institute of Denmark 27
52,Polytechnic,Ukraine,67890093158.0,University of Ukraine 5
53,Institute,China,55796763279.0,Academy of South Korea 17
54,Research Center,Australia,33336870244.0,School of Australia 23
55,Institute,Austria,12896036875.0,Research Center of Russia 20
